City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,155,Kalachinsk,RU,2021-12-06 23:17:21,55.0529,74.5751,19.74,94,98,10.89
156,156,Simao,CN,2021-12-06 23:17:21,22.7886,100.9748,54.97,80,99,2.26
157,157,Kieta,PG,2021-12-06 23:17:22,-6.2167,155.6333,85.8,72,100,6.44
158,158,Mabaruma,GY,2021-12-06 23:17:22,8.2,-59.7833,73.42,97,60,3.65
159,159,Jamestown,US,2021-12-06 23:17:23,42.097,-79.2353,35.19,83,90,21.0
160,160,Svetlogorsk,BY,2021-12-06 23:17:24,52.6333,29.7333,31.53,99,100,3.36
161,161,Madang,PG,2021-12-06 23:17:25,-5.2246,145.7966,83.55,74,87,0.89
162,162,Bluff,NZ,2021-12-06 23:17:25,-46.6,168.3333,63.81,54,2,6.64
163,163,Kirakira,SB,2021-12-06 23:17:26,-10.4544,161.9205,83.26,78,100,7.4
164,164,Vanavara,RU,2021-12-06 23:17:26,60.34,102.2797,3.6,99,100,3.15
165,165,Provideniya,RU,2021-12-06 23:17:26,64.3833,-173.3,14.11,79,90,13.42
166,166,Masvingo,ZW,2021-12-06 23:17:27,-20.0637,30.8277,67.68,79,90,2.01
167,167,Umea,SE,2021-12-06 23:17:27,63.8284,20.2597,13.93,92,90,3.44
168,168,Carnarvon,AU,2021-12-06 23:17:27,-24.8667,113.6333,73.47,83,90,11.5
169,169,Ferme-Neuve,CA,2021-12-06 23:17:28,46.7001,-75.4493,35.38,88,100,13.51
170,170,Te Anau,NZ,2021-12-06 23:17:28,-45.4167,167.7167,60.13,55,13,1.32
171,171,Rawah,IQ,2021-12-06 23:17:29,34.4816,41.9093,54.66,45,100,6.67
172,172,Bukama,CD,2021-12-06 23:17:29,-9.2,25.85,68.47,97,100,3.62
173,173,Kapaa,US,2021-12-06 23:17:30,22.0752,-159.319,71.92,82,90,6.91
174,174,Lunenburg,CA,2021-12-06 23:17:30,44.3835,-64.3155,57.49,99,100,19.57
175,175,Vila Franca Do Campo,PT,2021-12-06 23:17:31,37.7167,-25.4333,64.2,81,100,7.61
176,176,Mount Pleasant,US,2021-12-06 23:14:29,32.7941,-79.8626,66.2,87,1,1.01
177,177,Maraba,BR,2021-12-06 23:17:32,-5.3686,-49.1178,74.55,95,95,1.19
178,178,Cerro Largo,BR,2021-12-06 23:17:32,-28.1486,-54.7381,76.55,58,29,13.31
179,179,Saint-Augustin,CA,2021-12-06 23:17:32,51.226,-58.6502,23.85,67,100,11.05
180,180,Mount Gambier,AU,2021-12-06 23:17:33,-37.8333,140.7667,57.76,57,75,9.93
181,181,Halifax,CA,2021-12-06 23:17:33,44.6453,-63.5724,56.52,97,100,10.0
182,182,Husavik,IS,2021-12-06 23:17:34,66.0449,-17.3389,31.91,89,78,9.24
183,183,Yerbogachen,RU,2021-12-06 23:17:34,61.2767,108.0108,-1.91,97,98,2.13
184,184,Terney,RU,2021-12-06 23:18:35,45.0503,136.6092,25.84,76,7,7.94
185,185,Cochrane,CA,2021-12-06 23:18:35,51.1834,-114.4687,21.47,62,1,8.05
186,186,Inirida,CO,2021-12-06 23:18:36,3.8653,-67.9239,75.7,95,64,2.82
187,187,Jetpur,IN,2021-12-06 23:18:36,21.7333,70.6167,75.56,54,0,6.64
188,188,Fier,AL,2021-12-06 23:18:36,40.7239,19.5561,49.46,82,100,5.21
189,189,Port Hedland,AU,2021-12-06 23:18:37,-20.3167,118.5667,84.25,79,87,6.91
190,190,Raudeberg,NO,2021-12-06 23:18:37,61.9875,5.1352,38.07,64,100,5.99
191,191,Cidreira,BR,2021-12-06 23:18:38,-30.1811,-50.2056,68.38,81,23,15.95
192,192,Georgetown,MY,2021-12-06 23:18:38,5.4112,100.3354,77.9,81,20,0.0
193,193,Nishihara,JP,2021-12-06 23:18:39,26.1842,127.7558,67.28,77,20,8.05
194,194,Asau,RO,2021-12-06 23:18:39,46.4333,26.4,33.96,87,53,3.6
195,195,Vila Velha,BR,2021-12-06 23:18:39,-20.3297,-40.2925,71.55,97,75,1.01
196,196,Ishigaki,JP,2021-12-06 23:18:40,24.3448,124.1572,71.73,68,20,19.57
197,197,Lasa,IT,2021-12-06 23:18:40,46.6166,10.7002,26.69,71,51,4.14
198,198,Kandrian,PG,2021-12-06 23:18:41,-6.2167,149.55,83.84,76,100,5.95
199,199,Linqiong,CN,2021-12-06 23:18:41,30.4159,103.4609,51.62,92,100,3.51
200,200,Cabedelo,BR,2021-12-06 23:18:41,-6.9811,-34.8339,79.47,70,5,13.2
201,201,Ucluelet,CA,2021-12-06 23:18:42,48.9329,-125.5528,44.1,88,100,1.01
202,202,Nichinan,JP,2021-12-06 23:18:42,31.6,131.3667,49.15,71,0,4.74
203,203,San Pedro,PH,2021-12-06 23:18:43,14.35,121.0167,76.1,84,40,1.14
